02:10:58.871 FINE | Run command: java -Xmx1024m -classpath ../logist/logist.jar logist.LogistPlatform -o tournament/tour/auction-auction-risky-auction-safe.xml -a tournament/tour/agents.xml ./config/auction.xml auction-risky auction-safe
02:10:58.995 CONFIG | Reading ./config/auction.xml
02:10:59.174 CONFIG | Reading config/settings_auction.xml
02:10:59.214 CONFIG | Reading config/topology/england.xml
02:10:59.238 CONFIG | Reading tournament/tour/agents.xml
02:10:59.283 CONFIG | Reading config/settings_auction.xml
02:10:59.288 CONFIG | Algorithm used : AUCTION
02:10:59.289 CONFIG | Strategy used : RISKY
02:10:59.290 CONFIG | Using distribution : FALSE
02:10:59.295 CONFIG | Reading config/settings_auction.xml
02:10:59.299 CONFIG | Algorithm used : AUCTION
02:10:59.300 CONFIG | Strategy used : SAFE
02:10:59.300 CONFIG | Using distribution : FALSE
02:10:59.452 CONFIG | Agent 0 bid 1096
02:10:59.536 CONFIG | Agent 1 bid 3414
02:10:59.538 CONFIG | (round 1) WINNER 0
02:10:59.579 CONFIG | Agent 0 bid 1334
02:10:59.580 CONFIG | (round 1) WINNER 0
02:10:59.655 CONFIG | Agent 1 bid 3443
02:10:59.656 CONFIG | (round 2) WINNER 0
02:10:59.901 CONFIG | Agent 0 bid 1343
02:10:59.901 CONFIG | (round 2) WINNER 0
02:11:00.141 CONFIG | Agent 1 bid 3075
02:11:00.143 CONFIG | (round 3) WINNER 0
02:11:00.316 CONFIG | Agent 0 bid 414
02:11:00.317 CONFIG | (round 3) WINNER 0
02:11:00.552 CONFIG | Agent 1 bid 3509
02:11:00.553 CONFIG | (round 4) WINNER 0
02:11:00.963 CONFIG | Agent 0 bid 184
02:11:00.964 CONFIG | (round 4) WINNER 0
02:11:01.428 CONFIG | Agent 1 bid 4407
02:11:01.428 CONFIG | (round 5) WINNER 0
02:11:01.952 CONFIG | Agent 0 bid 100
02:11:01.952 CONFIG | (round 5) WINNER 0
02:11:02.425 CONFIG | Agent 1 bid 2013
02:11:02.425 CONFIG | (round 6) WINNER 0
02:11:03.209 CONFIG | Agent 0 bid 335
02:11:03.209 CONFIG | (round 6) WINNER 0
02:11:04.194 CONFIG | Agent 1 bid 3893
02:11:04.195 CONFIG | (round 7) WINNER 0
02:11:05.207 CONFIG | Agent 0 bid 647
02:11:05.208 CONFIG | (round 7) WINNER 0
02:11:06.187 CONFIG | Agent 1 bid 2307
02:11:06.188 CONFIG | (round 8) WINNER 0
02:11:07.087 CONFIG | Agent 0 bid 1107
02:11:07.087 CONFIG | (round 8) WINNER 0
02:11:08.014 CONFIG | Agent 1 bid 5538
